Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-01-08 12:28 (EST),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-21 09:00 (EST),,,,,,,45,113.25,,
2021-01-08 12:37 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Elvis Remix Core Strength,2020-12-29 19:00 (EST),,,,,,,83,108.61,,
2021-01-08 16:31 (EST),On Demand,Chelsea Jackson Roberts,10,Meditation,Mindfulness,10 min Year of Yes Meditation,2020-12-22 18:38 (EST),,,,,,,,,,
2021-01-09 10:00 (EST),On Demand,Olivia Amato,30,Cycling,Theme,30 min Pride Ride,2019-06-18 16:19 (EST),285,159,47%,78,19.28,9.64,516,165.61,,
2021-01-09 10:32 (EST),On Demand,Olivia Amato,10,Cycling,Low Impact,10 min Cool Down Ride,2019-08-27 17:01 (EST),34,56,35%,64,12.55,2.09,126,135.75,,
2021-01-09 10:45 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 07:00 (EST),,,,,,,52,122.38,,
2021-01-09 10:53 (EST),On Demand,Olivia Amato,5,Strength,Core,5 min Core Strength,2020-11-18 08:57 (EST),,,,,,,41,107.57,,
2021-01-10 14:33 (EST),On Demand,Olivia Amato,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-09-16 07:37 (EST),,,,,,,114,128.55,,
2021-01-10 14:46 (EST),On Demand,Irene Scholz,20,Cycling,Theme,20 min Unity Ride,2020-10-03 07:30 (EST),158,131,43%,82,18.01,5.99,284,146.45,,
2021-01-10 15:10 (EST),On Demand,Becs Gentry,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-07-22 10:00 (EST),,,,,,,81,106.98,,
2021-01-11 00:09 (EST),On Demand,Anna Greenberg,10,Meditation,Relax & Sleep,10 min Sleep Meditation,2020-12-27 09:00 (EST),,,,,,,,,,
2021-01-11 12:38 (EST),On Demand,Ben Alldis,20,Cycling,Theme,20 min UK Celebration Ride,2019-09-24 13:20 (EST),172,151,46%,80,18.83,5.96,285,151.51,,
2021-01-11 12:59 (EST),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-11 01:45 (EST),,,,,,,50,120.04,,
2021-01-11 13:07 (EST),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Remix Arms & Shoulders Strength,2020-12-29 19:00 (EST),,,,,,,111,126.20,,
2021-01-11 23:01 (EST),On Demand,Ross Rayburn,15,Meditation,Relax & Sleep,15 min Sleep Meditation,2021-01-03 09:00 (EST),,,,,,,,,,
